Date,Open,High,Low,Close,Volume
16/01/2019 13:00:00,1.1267,1.1291,1.1267,1.1287,13959
16/01/2019 14:00:00,1.1288,1.1294,1.1284,1.1285,16241
16/01/2019 15:00:00,1.1285,1.1293,1.1283,1.1293,10802
16/01/2019 16:00:00,1.1293,1.1293,1.128,1.1283,5923
16/01/2019 17:00:00,1.1283,1.1286,1.1283,1.1286,3531
16/01/2019 18:00:00,1.1286,1.1296,1.1285,1.129,7584
16/01/2019 19:00:00,1.129,1.1292,1.1283,1.1285,6474
16/01/2019 20:00:00,1.1285,1.1285,1.1282,1.1283,1835
16/01/2019 21:00:00,1.1283,1.1287,1.1277,1.1281,5257
16/01/2019 22:00:00,1.1281,1.1286,1.1277,1.1285,4123
16/01/2019 23:00:00,1.1286,1.1288,1.1283,1.1284,2842
17/01/2019 00:00:00,1.1284,1.129,1.1283,1.1287,3451
17/01/2019 01:00:00,1.1287,1.1291,1.1287,1.1289,3176
17/01/2019 02:00:00,1.1289,1.1293,1.1288,1.129,2420
17/01/2019 03:00:00,1.129,1.1293,1.1289,1.129,2847
17/01/2019 04:00:00,1.129,1.1291,1.1286,1.129,2119
17/01/2019 05:00:00,1.129,1.1292,1.1286,1.1287,3358
17/01/2019 06:00:00,1.1287,1.1295,1.1281,1.1288,10334
17/01/2019 07:00:00,1.1288,1.1305,1.1287,1.1302,11277
17/01/2019 08:00:00,1.1302,1.1314,1.1301,1.1305,8794
17/01/2019 09:00:00,1.1305,1.1313,1.1302,1.1313,8929
17/01/2019 10:00:00,1.1313,1.1315,1.1308,1.1314,8041
17/01/2019 11:00:00,1.1314,1.1315,1.1309,1.1312,7628
17/01/2019 12:00:00,1.1312,1.1316,1.1307,1.1312,13603
17/01/2019 13:00:00,1.1312,1.1322,1.1311,1.1319,13919
17/01/2019 14:00:00,1.1319,1.1331,1.1313,1.1319,18548
17/01/2019 15:00:00,1.1319,1.1323,1.1313,1.1321,14580
17/01/2019 16:00:00,1.1321,1.1326,1.1318,1.1319,5426
17/01/2019 17:00:00,1.1319,1.132,1.1313,1.1313,4983
17/01/2019 18:00:00,1.1313,1.1326,1.1311,1.1319,9587
17/01/2019 19:00:00,1.1319,1.1323,1.1315,1.1318,7640
17/01/2019 20:00:00,1.1318,1.1322,1.1316,1.1322,2890
17/01/2019 21:00:00,1.1322,1.1323,1.1311,1.1312,864
17/01/2019 22:00:00,1.1312,1.1324,1.1312,1.1323,1559
17/01/2019 23:00:00,1.1323,1.1324,1.1321,1.1322,2785
18/01/2019 00:00:00,1.1322,1.1327,1.1321,1.1325,3478
18/01/2019 01:00:00,1.1325,1.1327,1.1322,1.1324,3010
18/01/2019 02:00:00,1.1324,1.1326,1.1322,1.1323,2370
18/01/2019 03:00:00,1.1324,1.1324,1.1321,1.1322,1644
18/01/2019 04:00:00,1.1322,1.1324,1.1321,1.1323,1588
18/01/2019 05:00:00,1.1323,1.1328,1.1321,1.1326,2430
18/01/2019 06:00:00,1.1326,1.133,1.1323,1.1325,7071
18/01/2019 07:00:00,1.1325,1.1332,1.1324,1.1329,8010
18/01/2019 08:00:00,1.1329,1.1336,1.1327,1.1332,6364
18/01/2019 09:00:00,1.1332,1.1338,1.1329,1.1337,7686
18/01/2019 10:00:00,1.1337,1.1337,1.133,1.1332,7248
18/01/2019 11:00:00,1.1331,1.1336,1.1331,1.1332,5776
18/01/2019 12:00:00,1.1332,1.1334,1.133,1.1333,7497
18/01/2019 13:00:00,1.1333,1.1333,1.1314,1.1317,14469
18/01/2019 14:00:00,1.1317,1.1317,1.1301,1.1316,24853
18/01/2019 15:00:00,1.1316,1.1317,1.1306,1.1311,14025
18/01/2019 16:00:00,1.1311,1.1312,1.1306,1.1309,5137
18/01/2019 17:00:00,1.1309,1.1314,1.1308,1.1313,4173
18/01/2019 18:00:00,1.1313,1.1317,1.1312,1.1315,4297
18/01/2019 19:00:00,1.1315,1.1316,1.1314,1.1314,3628
18/01/2019 20:00:00,1.1314,1.1316,1.1311,1.1311,2223
18/01/2019 21:00:00,1.1311,1.1312,1.1311,1.1312,5
18/01/2019 22:00:00,1.1304,1.1307,1.1304,1.1304,8
20/01/2019 19:00:00,1.1303,1.1307,1.1302,1.1304,19
20/01/2019 20:00:00,1.1307,1.1307,1.1301,1.1307,22
20/01/2019 21:00:00,1.1303,1.1316,1.1301,1.1304,1504
20/01/2019 22:00:00,1.1305,1.1316,1.1305,1.1313,2635
20/01/2019 23:00:00,1.1313,1.1321,1.1311,1.1319,4107
21/01/2019 00:00:00,1.132,1.1322,1.1313,1.1321,4355
21/01/2019 01:00:00,1.1321,1.1327,1.132,1.1321,3737
21/01/2019 02:00:00,1.1321,1.1321,1.1318,1.1318,1622
21/01/2019 03:00:00,1.1318,1.1323,1.1317,1.1322,1389
21/01/2019 04:00:00,1.1323,1.1325,1.1321,1.1324,2212
21/01/2019 05:00:00,1.1324,1.1326,1.1323,1.1325,2168
21/01/2019 06:00:00,1.1325,1.1332,1.1324,1.1329,5206
21/01/2019 07:00:00,1.1329,1.1331,1.1321,1.1325,6053
21/01/2019 08:00:00,1.1325,1.1344,1.1323,1.1344,5901
21/01/2019 09:00:00,1.1344,1.1344,1.1336,1.1343,5702
21/01/2019 10:00:00,1.1343,1.1344,1.1341,1.1342,3841
21/01/2019 11:00:00,1.1342,1.1347,1.134,1.1343,4629
21/01/2019 12:00:00,1.1343,1.1345,1.134,1.134,5964
21/01/2019 13:00:00,1.134,1.1341,1.1331,1.1334,4972
21/01/2019 14:00:00,1.1334,1.134,1.1334,1.1338,4970
21/01/2019 15:00:00,1.1338,1.1343,1.1336,1.1338,4476
21/01/2019 16:00:00,1.1338,1.134,1.1334,1.134,1953
21/01/2019 17:00:00,1.134,1.1342,1.1335,1.134,3042
21/01/2019 18:00:00,1.134,1.1343,1.1339,1.1342,3639
21/01/2019 19:00:00,1.1342,1.1342,1.1335,1.1337,3377
21/01/2019 20:00:00,1.1335,1.134,1.133,1.1331,4396
21/01/2019 21:00:00,1.1331,1.1342,1.1328,1.1337,1315
21/01/2019 22:00:00,1.1338,1.1343,1.1338,1.134,2688
21/01/2019 23:00:00,1.134,1.1343,1.1338,1.1339,2585
22/01/2019 00:00:00,1.1339,1.1343,1.1338,1.1341,2269
22/01/2019 01:00:00,1.1342,1.1343,1.1338,1.134,1253
22/01/2019 02:00:00,1.134,1.1343,1.1339,1.134,2540
22/01/2019 03:00:00,1.134,1.134,1.1335,1.1336,2960
22/01/2019 04:00:00,1.1336,1.1338,1.1329,1.1333,2893
22/01/2019 05:00:00,1.1333,1.1333,1.1327,1.1329,1704
22/01/2019 06:00:00,1.1329,1.133,1.132,1.1325,6574
22/01/2019 07:00:00,1.1325,1.133,1.1321,1.1328,11786
22/01/2019 08:00:00,1.1328,1.1333,1.1325,1.1328,7347
22/01/2019 09:00:00,1.1326,1.133,1.1323,1.1323,6907
22/01/2019 10:00:00,1.1323,1.1324,1.1317,1.1317,6123
22/01/2019 11:00:00,1.1317,1.1329,1.1317,1.1328,7882
22/01/2019 12:00:00,1.1328,1.1334,1.1323,1.1324,14170
22/01/2019 13:00:00,1.1324,1.1336,1.1319,1.1335,14539
22/01/2019 14:00:00,1.1335,1.1337,1.1326,1.1329,15480
22/01/2019 15:00:00,1.1329,1.1331,1.1326,1.1328,11253
22/01/2019 16:00:00,1.1328,1.1335,1.1327,1.1334,5721
22/01/2019 17:00:00,1.1334,1.1335,1.1329,1.133,8011
22/01/2019 18:00:00,1.133,1.1332,1.1327,1.1329,5046
22/01/2019 19:00:00,1.1329,1.133,1.1326,1.1327,5769
22/01/2019 20:00:00,1.1327,1.1333,1.1326,1.1329,3776
22/01/2019 21:00:00,1.1328,1.1333,1.1324,1.1331,4758
22/01/2019 22:00:00,1.1331,1.1333,1.1329,1.1331,4280
22/01/2019 23:00:00,1.1331,1.1335,1.1331,1.1332,2834
23/01/2019 00:00:00,1.1332,1.1338,1.1331,1.1336,4004
23/01/2019 01:00:00,1.1336,1.1338,1.1333,1.1336,2411
23/01/2019 02:00:00,1.1336,1.1338,1.1334,1.1335,2949
23/01/2019 03:00:00,1.1334,1.1338,1.1333,1.1337,2452
23/01/2019 04:00:00,1.1337,1.1337,1.1334,1.1336,3095
23/01/2019 05:00:00,1.1335,1.1344,1.1335,1.1343,2360
23/01/2019 06:00:00,1.1343,1.1344,1.1338,1.1339,6943
23/01/2019 07:00:00,1.1339,1.134,1.1331,1.1337,9977
23/01/2019 08:00:00,1.1337,1.1341,1.1335,1.1336,7841
23/01/2019 09:00:00,1.1336,1.1344,1.1332,1.134,8394
23/01/2019 10:00:00,1.134,1.1347,1.1335,1.1337,9269
23/01/2019 11:00:00,1.1337,1.1338,1.1331,1.1336,7144
23/01/2019 12:00:00,1.1336,1.1339,1.1333,1.1334,16598
23/01/2019 13:00:00,1.1334,1.1335,1.1324,1.1332,17285
23/01/2019 14:00:00,1.1331,1.1342,1.1328,1.1331,18739
23/01/2019 15:00:00,1.1331,1.1338,1.1328,1.1329,14383
23/01/2019 16:00:00,1.1329,1.1332,1.1328,1.1331,6565
23/01/2019 17:00:00,1.1331,1.1331,1.1322,1.1323,4845
23/01/2019 18:00:00,1.1323,1.1324,1.132,1.1322,4793
23/01/2019 19:00:00,1.1322,1.1327,1.1322,1.1324,3918
23/01/2019 20:00:00,1.1324,1.1325,1.1321,1.1321,3110
23/01/2019 21:00:00,1.1321,1.1326,1.1317,1.1318,4500
